#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
5.0,26.0,1.60439,0.32369,0.21875,0.21649,0.16652,0.20983,0.18841,
5.0,13.0,1.60364,0.33539,0.20925,0.21296,0.1658,0.22597,0.18601,
5.0,32.0,1.6037,0.319,0.21338,0.20527,0.1652,0.22697,0.18917,
5.0,5.0,1.60727,0.40107,0.21643,0.19158,0.19158,0.21574,0.18468,
5.0,13.0,1.60495,0.3643,0.22108,0.18645,0.18158,0.22537,0.18552,
5.0,12.0,1.60481,0.33479,0.21407,0.21291,0.16576,0.21454,0.19271,
5.0,32.0,1.60304,0.28629,0.21364,0.20794,0.15635,0.2146,0.20746,
5.0,12.0,1.60867,0.28428,0.21623,0.19493,0.19493,0.19655,0.19735,
5.0,31.0,1.60721,0.21114,0.20909,0.19021,0.18684,0.2222,0.19165,
5.0,38.0,1.60638,0.23113,0.2184,0.18203,0.18034,0.20901,0.21021,
5.0,43.0,1.60345,0.21591,0.20623,0.17533,0.17703,0.23493,0.20647,
5.0,53.0,1.6001,0.23556,0.23275,0.17386,0.16516,0.22778,0.20045,
5.0,2.0,1.59338,0.43753,0.2207,0.23082,0.14165,0.22923,0.17759,
5.0,30.0,1.5941,0.35668,0.21683,0.22952,0.14238,0.23119,0.18008,
5.0,27.0,1.60363,0.35089,0.20366,0.21306,0.1731,0.23137,0.17881,
5.0,13.0,1.59895,0.35494,0.19467,0.246,0.15963,0.21504,0.18466,
5.0,21.0,1.6032,0.30571,0.20324,0.23823,0.17038,0.20182,0.18634,
5.0,32.0,1.60362,0.28253,0.21144,0.22952,0.16416,0.19768,0.1972,
5.0,24.0,1.60899,0.32175,0.20515,0.20751,0.18939,0.19927,0.19868,
5.0,34.0,1.60897,0.29145,0.19607,0.20258,0.19245,0.21102,0.19788,
5.0,9.0,1.60501,0.36658,0.21949,0.2136,0.16989,0.21036,0.18666,
5.0,10.0,1.60738,0.37559,0.20718,0.21815,0.17936,0.19552,0.19979,
